schoolid,Z,Y,S3,C1,C2,C3,XC,X1,X2,X3,X4,X5
73,1,-0.515703256592504,-1.1315285825126127,3,1,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-0.284457976950084,0.6530526576617155,3,0,0,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-0.242367657877334,-0.23923796242544865,11,1,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-0.195656689973083,-0.23923796242544865,14,0,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-1.11286626593731,0.6530526576617155,3,1,0,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,0.608506827692964,0.6530526576617155,3,0,0,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-1.25419117545843,-0.23923796242544865,3,0,0,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-1.05067115291327,-0.23923796242544865,3,1,0,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,0.437849945418666,0.6530526576617155,3,1,0,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-0.768183602681367,0.6530526576617155,3,0,0,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-0.934389081338219,-0.23923796242544865,12,1,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,0.0207815449049107,0.6530526576617155,3,1,0,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,0.330013859027821,1.5453432777488796,3,0,0,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-0.0372228828320546,0.6530526576617155,3,0,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,0.223460987554126,0.6530526576617155,11,0,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,0.268256679675931,1.5453432777488796,3,1,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-0.500785132881934,-0.23923796242544865,14,1,0,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-0.152968153107351,0.6530526576617155,3,0,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-0.364048822392494,0.6530526576617155,3,1,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,0.568044356185726,1.5453432777488796,3,0,0,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-0.565764330262525,-0.23923796242544865,0,0,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,0.533271152303871,-0.23923796242544865,0,0,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-0.489627388036417,-0.23923796242544865,3,0,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,0.482492623056574,0.6530526576617155,3,1,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
73,1,-1.03924062872025,0.6530526576617155,3,0,1,1,-0.4356901112231128,0.6389720420226677,-0.442326003201594,-0.1281389857213924,0.19807425416235974
